word,count
*,2096
た,877
ます,588
です,530
美味しい,389
だ,244
する,226
作る,214
おいしい,172
簡単,133
サクサク,124
チーズ,119
また,103
味,94
クリームチーズ,75
クッキー,74
食べる,70
美味,62
さ,59
なる,59
みる,59
ない,56
できる,54
いる,53
ほんのり,51
とっても,48
くさい,45
レシピ,44
笑,44
止まる,43
お,42
焼く,40
余る,39
ちゃう,39
決定,37
好評,35
次,35
大好き,35
回,34
すぎる,34
てる,34
入り,33
多め,33
大,33
やすい,32
型,32
ん,32
風味,31
友達,31
娘,31
香り,30
好き,30
ありがとう,30
うまい,29
アーモンド,28
手,27
最高,27
プレゼント,27
出来る,27
子供,26
何,26
感謝,25
すごい,24
サク,24
たい,24
いい,24
さく,24
とても,23
優しい,23
甘い,23
生地,22
バター,22
の,22
初,22
目,22
入れる,21
しまう,20
ま,20
用,19
歳,19
しっとり,19
作り,19
今回,19
プードル,19
息子,19
ちょっと,18
感,17
れる,17
少し,16
めっちゃ,16
食,16
家族,16
嬉しい,16
これ,16
今度,16
良い,16
ござる,16
消費,15
抜き,15
形,15
初めて,15
り,15
素敵,14
砂糖,14
日,14
やつ,14
あっという間に,14
さる,14
くれる,13
サック,13
挑戦,13
一緒,13
２,13
作れる,13
私,12
過ぎる,12
この,12
分量,12
中,12
う,12
０,12
倍量,12
パクパク,12
ぽい,12
うま,11
覚える,11
そう,11
実は,11
レポ,11
１,11
達,11
残る,11
く,11
度,11
ポリポリ,11
喜ぶ,11
つくる,10
バレンタイン,10
分,10
とまる,10
焼き,10
明日,10
アレンジ,10
扱う,10
可愛い,10
一番,10
いれる,9
絶対,9
材料,9
こんなに,9
写真,9
旦那,9
マーガリン,9
もう,9
お気に入り,9
粉,9
言う,9
ポリ,9
いっぱい,9
好み,9
激,9
レーズン,8
時,8
さん,8
助かる,8
クリ,8
一,8
ある,8
味見,8
人,8
凄い,8
超,8
ついつい,8
ハート,8
彼,8
め,8
お菓子,8
みんな,8
やっぱり,8
なくなる,8
チョコ,7
よい,7
子ども,7
絶賛,7
丸める,7
完,7
系,7
３,7
二,7
ウマ,7
ヨーグルト,7
ボタン,7
薄い,7
本当に,7
もっと,7
分厚い,7
％,7
時間,7
控えめ,7
たまらない,7
行く,7
口,6
いただく,6
方,6
感激,6
ごちそうさま,6
美味い,6
あげる,6
水切り,6
ホント,6
頂く,6
いびつ,6
香る,6
ぬ,6
よう,6
今,6
くり,6
いく,6
ラム,6
卵,6
渡す,5
冷凍,5
厚め,5
す,5
量,5
使う,5
入,5
ココア,5
いつも,5
楽しみ,5
手作り,5
前,5
ドライ,5
少なめ,5
満足,5
早速,5
チー,5
幸せ,5
厚い,5
入る,5
沢山,5
半分,5
糖,5
とる,5
苦手,5
ザクザク,5
すぐ,5
思う,5
たち,5
ふんわり,5
すっごい,5
レモン,5
増やす,5
少ない,5
手土産,5
楽しい,5
色,5
焼ける,5
持つ,5
濃厚,5
たくさん,5
つくれる,5
られる,4
やっと,4
せる,4
ひび割れる,4
見た目,4
置く,4
っぽい,4
様,4
ｇ,4
き,4
まとまる,4
差し入れ,4
会社,4
オーブン,4
割れる,4
いろんな,4
ずっと,4
ジャム,4
でも,4
ケーキ,4
即,4
気に入る,4
まぁ,4
５,4
作成,4
たまる,4
喜び,4
救済,4
やさしい,4
たて,4
顔,4
配合,4
クセ,4
定番,4
完売,4
後,4
たつ,4
ご馳走様,4
変える,4
初心者,4
抹茶,4
倍,4
みたい,4
感じ,4
旨,4
もの,4
しっかり,4
くる,4
自分,4
だす,4
買う,4
汁,4
香ばしい,4
つく,4
ほのか,3
ほろほろ,3
自家製,3
パパ,3
多い,3
度目,3
個,3
職場,3
牛乳,3
つい,3
爽やか,3
感動,3
うれしい,3
素朴,3
やみつく,3
やばい,3
つき,3
お返し,3
ふう,3
ああ,3
くっさく,3
めちゃくちゃ,3
そして,3
おい,3
トースター,3
厚み,3
数,3
今日,3
難しい,3
おく,3
友人,3
夫,3
皆,3
悪い,3
汗,3
プレー,3
飽きる,3
あ,3
ン,3
母,3
あまり,3
ほん,3
配る,3
リッチ,3
かなり,3
為,3
ため,3
固め,3
易い,3
割合,3
紅茶,3
くるみ,3
変身,3
すぎ,3
増量,3
のせる,3
ほろっと,3
かわいい,3
ビックリ,3
店,3
軽い,3
妹,3
確定,3
半端,3
足りる,3
かける,3
やみ,3
無い,3
活用,3
微妙,3
失敗,3
彼氏,3
忘れる,3
味わい,3
追加,3
匂い,3
らしい,3
番,3
全部,3
さくい,3
ヒビ,3
半量,3
気,3
こと,3
後味,3
ベビー,2
ミール,2
あっさり,2
引く,2
クルミ,2
全量,2
加減,2
あまる,2
やめる,2
適当,2
いう,2
大人気,2
ざくざく,2
