word,count
*,1255
た,512
ます,375
です,348
だ,268
美味しい,230
簡単,156
濃厚,152
作る,148
する,143
おいしい,87
しっとり,81
バレンタイン,71
チョコ,70
好評,57
大,54
また,53
回,44
美味,42
何,39
食べる,39
用,33
レシピ,31
型,30
お,29
倍量,28
喜ぶ,28
できる,27
すごい,27
さ,25
友達,25
味,25
日,24
目,24
倍,24
旦那,23
最高,23
なる,23
の,23
ケーキ,23
く,22
決定,22
感謝,22
すぎる,22
冷やす,21
笑,20
度,20
ありがとう,19
いる,19
２,19
とても,19
たい,19
超,19
とっても,18
ちゃう,18
作れる,18
生,17
プレゼント,17
本当に,17
実は,17
娘,17
これ,16
大好き,16
めっちゃ,15
素敵,15
出来る,15
ない,15
てる,15
焼く,15
中,14
家族,14
みる,14
好き,14
彼,14
私,14
みんな,13
絶賛,13
量,13
ござる,12
彼氏,12
みたい,12
この,12
ん,12
誕生,12
くれる,11
初,11
満足,11
感動,11
しまう,11
二,10
あげる,10
子供,10
そう,10
ずっしり,10
明日,10
れる,10
今,10
ウマ,9
今年,9
すぎ,9
とる,9
もう,9
食,9
焼き,9
少し,9
絶対,9
ま,9
様,9
たて,9
すっごい,8
本当,8
め,8
砂糖,8
レポ,8
一,8
職場,8
思う,8
ほんとに,8
ホワイト,8
本,8
丸,8
感,7
パパ,7
渡す,7
お世話,7
ブラック,7
いい,7
抹茶,7
激,7
生クリーム,7
いつも,6
もらえる,6
試作,6
１,6
言う,6
自分,6
感激,6
粉,6
ぽい,6
カップ,6
母,6
すぐ,6
達,6
幸せ,6
次,6
たまる,6
り,6
お気に入り,6
定番,6
完,6
人,6
凄い,6
ラム,5
甘い,5
３,5
ありがと,5
せる,5
もらう,5
しかも,5
めちゃくちゃ,5
半分,5
つくる,5
入り,5
あまり,5
今回,5
大量,5
酒,5
余る,5
ビックリ,5
友,5
材料,5
あっという間に,4
持つ,4
濃い,4
後,4
びっくり,4
作成,4
頂く,4
たまらない,4
一緒,4
楽しみ,4
うまい,4
添える,4
会社,4
ココア,4
つくれる,4
作り,4
写真,4
う,4
焦げる,4
かなり,4
前,4
牛乳,4
焼ける,4
なくなる,4
感じ,4
土産,4
大人,4
口,4
店,4
初めて,4
行く,4
たち,4
入れる,4
夫,4
過ぎる,4
形,4
生産,4
旨,4
まくる,4
でも,4
息子,4
ぬ,4
ごく,4
られる,3
父,3
お母さん,3
配る,3
美味い,3
いただく,3
ちょっと,3
生地,3
方,3
先生,3
リクエスト,3
手軽,3
作,3
良い,3
かける,3
味見,3
人気,3
サク,3
ワン,3
見る,3
やつ,3
ミルク,3
贈り物,3
晩,3
早い,3
ホント,3
ミニ,3
こんな,3
やっぱり,3
嬉しい,3
ホール,3
小,3
消費,3
大きい,3
ハート,3
数,3
アイス,3
皆,3
切れ,3
毎年,3
早速,3
喜び,3
連続,3
一番,3
ごちそうさま,3
薄い,3
上,3
冷蔵庫,3
ある,3
たっぷり,3
さん,3
位,3
驚く,3
手土産,3
教える,3
探す,2
残る,2
下,2
割れる,2
変,2
少ない,2
